,artist,change,lastPos,peakPos,rank,spotifyID,spotifyLink,title,videoLink,weeks,date
0,Ed Sheeran,Hot Shot Debut,0,1,1,0FE9t6xYkqWXU2ahLh6D8X,https://embed.spotify.com/?uri=spotify:track:0FE9t6xYkqWXU2ahLh6D8X,Shape Of You,,1,2017-01-28
1,Migos Featuring Lil Uzi Vert,-1,1,1,2,1FvU97lrWOG2NRxErh6OZz,https://embed.spotify.com/?uri=spotify:track:1FvU97lrWOG2NRxErh6OZz,Bad And Boujee,,9,2017-01-28
2,Rae Sremmurd Featuring Gucci Mane,-1,2,1,3,6fujklziTHa8uoM5OQSfIo,https://embed.spotify.com/?uri=spotify:track:6fujklziTHa8uoM5OQSfIo,Black Beatles,http://cache.vevo.com/assets/html/embed.html?video=USUV71602395&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,18,2017-01-28
3,The Weeknd Featuring Daft Punk,0,4,1,4,2IY7eOUDjw2ArKYxKa2jXc,https://embed.spotify.com/?uri=spotify:track:2IY7eOUDjw2ArKYxKa2jXc,Starboy,http://cache.vevo.com/assets/html/embed.html?video=USUMV1600416&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,17,2017-01-28
4,The Chainsmokers Featuring Halsey,-2,3,1,5,7BKLCZ1jbUBVqRi2FVlTVw,https://embed.spotify.com/?uri=spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,Closer,http://cache.vevo.com/assets/html/embed.html?video=USQX91602043&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,24,2017-01-28
5,Ed Sheeran,New,0,6,6,66qlqxhEMpSHOzjRK4il0b,https://embed.spotify.com/?uri=spotify:track:66qlqxhEMpSHOzjRK4il0b,Castle On The Hill,,1,2017-01-28
6,Bruno Mars,-2,5,4,7,2gFvRmQiWg9fN9i74Q0aiw,https://embed.spotify.com/?uri=spotify:track:2gFvRmQiWg9fN9i74Q0aiw,24K Magic,http://cache.vevo.com/assets/html/embed.html?video=USATV1601750&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,14,2017-01-28
7,Maroon 5 Featuring Kendrick Lamar,-1,7,7,8,0AKejOKlGdiB53QpwAeenO,https://embed.spotify.com/?uri=spotify:track:0AKejOKlGdiB53QpwAeenO,Don't Wanna Know,http://cache.vevo.com/assets/html/embed.html?video=USUV71603046&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,14,2017-01-28
8,Ariana Grande Featuring Nicki Minaj,-3,6,4,9,1pKeFVVUOPjFsOABub0OaV,https://embed.spotify.com/?uri=spotify:track:1pKeFVVUOPjFsOABub0OaV,Side To Side,http://cache.vevo.com/assets/html/embed.html?video=USUV71601190&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,20,2017-01-28
9,Machine Gun Kelly x Camila Cabello,0,10,9,10,56cswAa9WdFBsjsTyPBAKA,https://embed.spotify.com/?uri=spotify:track:56cswAa9WdFBsjsTyPBAKA,Bad Things,http://cache.vevo.com/assets/html/embed.html?video=USUV71603125&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,11,2017-01-28
10,Drake,-2,9,9,11,6NMNgWgEAzde5M8U3lc6FN,https://embed.spotify.com/?uri=spotify:track:6NMNgWgEAzde5M8U3lc6FN,Fake Love,,12,2017-01-28
11,Zayn / Taylor Swift,+2,14,6,12,6yIdwnpDHufLWgQcveTPMk,https://embed.spotify.com/?uri=spotify:track:6yIdwnpDHufLWgQcveTPMk,I Don't Wanna Live Forever (Fifty Shades Darker),,5,2017-01-28
12,Alessia Cara,-1,12,12,13,0wI7QkCcs8FUQE1OkXUIqd,https://embed.spotify.com/?uri=spotify:track:0wI7QkCcs8FUQE1OkXUIqd,Scars To Your Beautiful,http://cache.vevo.com/assets/html/embed.html?video=USUV71501943&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,20,2017-01-28
13,DJ Snake Featuring Justin Bieber,-6,8,4,14,0lYBSQXN6rCTvUZvg9S0lU,https://embed.spotify.com/?uri=spotify:track:0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,,23,2017-01-28
14,Amine,+1,16,11,15,34dVqrAW35mn6dpgfzntOS,https://embed.spotify.com/?uri=spotify:track:34dVqrAW35mn6dpgfzntOS,Caroline,,19,2017-01-28
15,Big Sean,+2,18,16,16,206uaQyzb8kOiZ7rHw9wCn,https://embed.spotify.com/?uri=spotify:track:206uaQyzb8kOiZ7rHw9wCn,Bounce Back,http://cache.vevo.com/assets/html/embed.html?video=USUV71603363&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,10,2017-01-28
16,Zay Hilfigerrr & Zayion McCall,-6,11,5,17,1lItf5ZXJc1by9SbPeljFd,https://embed.spotify.com/?uri=spotify:track:1lItf5ZXJc1by9SbPeljFd,Juju On That Beat (TZ Anthem),http://cache.vevo.com/assets/html/embed.html?video=USATV1601824&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,16,2017-01-28
17,twenty one pilots,-5,13,2,18,6i0V12jOa3mr6uu4WYhUBr,https://embed.spotify.com/?uri=spotify:track:6i0V12jOa3mr6uu4WYhUBr,Heathens,,30,2017-01-28
18,Rihanna,+2,21,19,19,7HRHMuUTY7Dk4mw7CjS36i,https://embed.spotify.com/?uri=spotify:track:7HRHMuUTY7Dk4mw7CjS36i,Love On The Brain,,13,2017-01-28
19,D.R.A.M. Featuring Lil Yachty,-5,15,5,20,0qy5D3OJre7SPJNMOL9I71,https://embed.spotify.com/?uri=spotify:track:0qy5D3OJre7SPJNMOL9I71,Broccoli,,31,2017-01-28
20,Hailee Steinfeld & Grey Featuring Zedd,-4,17,12,21,6DG2g1UhROp5pnM8fx7zH2,https://embed.spotify.com/?uri=spotify:track:6DG2g1UhROp5pnM8fx7zH2,Starving,http://cache.vevo.com/assets/html/embed.html?video=USUV71601940&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,24,2017-01-28
21,The Weeknd Featuring Daft Punk,+3,25,22,22,7enFbf4reUpo2CCQYpwoHC,https://embed.spotify.com/?uri=spotify:track:7enFbf4reUpo2CCQYpwoHC,I Feel It Coming,,8,2017-01-28
22,Shawn Mendes,-4,19,17,23,1oHCgpheYhmhQbhCmbhpWn,https://embed.spotify.com/?uri=spotify:track:1oHCgpheYhmhQbhCmbhpWn,Mercy,http://cache.vevo.com/assets/html/embed.html?video=USUV71602267&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,17,2017-01-28
23,Jon Bellion,-2,22,16,24,5wQRNkb7OhzJoT1P0OZ4Rw,https://embed.spotify.com/?uri=spotify:track:5wQRNkb7OhzJoT1P0OZ4Rw,All Time Low,,14,2017-01-28
24,Justin Timberlake,-5,20,1,25,6JV2JOEocMgcZxYSZelKcc,https://embed.spotify.com/?uri=spotify:track:6JV2JOEocMgcZxYSZelKcc,Can't Stop The Feeling!,,36,2017-01-28
25,Shawn Mendes,-3,23,6,26,1mSlftOO1dlDRXAyOE0Sbd,https://embed.spotify.com/?uri=spotify:track:1mSlftOO1dlDRXAyOE0Sbd,Treat You Better,http://cache.vevo.com/assets/html/embed.html?video=USUV71601543&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,32,2017-01-28
26,Sia Featuring Sean Paul,-1,26,1,27,7BPw9h8vCIX94N0rjFU12S,https://embed.spotify.com/?uri=spotify:track:7BPw9h8vCIX94N0rjFU12S,Cheap Thrills,,48,2017-01-28
27,Niall Horan,-1,27,20,28,5dTJMpqiELczVuHJP3OAEu,https://embed.spotify.com/?uri=spotify:track:5dTJMpqiELczVuHJP3OAEu,This Town,,16,2017-01-28
28,Keith Urban,+1,30,24,29,6wycnu8FWXsj68ig7BEot9,https://embed.spotify.com/?uri=spotify:track:6wycnu8FWXsj68ig7BEot9,Blue Ain't Your Color,http://cache.vevo.com/assets/html/embed.html?video=USUV71601529&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,18,2017-01-28
29,John Legend,+1,31,23,30,6hdkw1wzhIRYPlYDUtCY5m,https://embed.spotify.com/?uri=spotify:track:6hdkw1wzhIRYPlYDUtCY5m,Love Me Now,http://cache.vevo.com/assets/html/embed.html?video=USSM21601580&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,12,2017-01-28
30,James Arthur,+6,37,31,31,1Pw5C4N6Fn5E4mGCxmbbVa,https://embed.spotify.com/?uri=spotify:track:1Pw5C4N6Fn5E4mGCxmbbVa,Say You Won't Let Go,http://cache.vevo.com/assets/html/embed.html?video=DEC691600671&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,12,2017-01-28
31,The Chainsmokers Featuring Daya,-3,29,3,32,1i1fxkWeaMmKEB4T7zqbzK,https://embed.spotify.com/?uri=spotify:track:1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,http://cache.vevo.com/assets/html/embed.html?video=USQX91600425&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,48,2017-01-28
32,Adele,+5,38,33,33,42RxuXnd94CPWEPJjZIGWl,https://embed.spotify.com/?uri=spotify:track:42RxuXnd94CPWEPJjZIGWl,Water Under The Bridge,,10,2017-01-28
33,Martin Garrix & Bebe Rexha,-6,28,24,34,23L5CiUhw2jV1OIMwthR3S,https://embed.spotify.com/?uri=spotify:track:23L5CiUhw2jV1OIMwthR3S,In The Name Of Love,,22,2017-01-28
34,Sia Featuring Kendrick Lamar,-3,32,18,35,3XIIOCu6B8PuGq5j61asEM,https://embed.spotify.com/?uri=spotify:track:3XIIOCu6B8PuGq5j61asEM,The Greatest,http://cache.vevo.com/assets/html/embed.html?video=USRV81600544&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,19,2017-01-28
35,21 Savage & Metro Boomin Featuring Future,0,36,36,36,6fwdbPMwP1zVStm8FybmkO,https://embed.spotify.com/?uri=spotify:track:6fwdbPMwP1zVStm8FybmkO,X,,18,2017-01-28
36,Rob $tone Featuring J. Davi$ & Spooks,-2,35,29,37,5uDASfU19gDxSjW8cnCaBp,https://embed.spotify.com/?uri=spotify:track:5uDASfU19gDxSjW8cnCaBp,Chill Bill,,24,2017-01-28
37,Major Lazer Featuring Justin Bieber & MO,-4,34,2,38,7zsXy7vlHdItvUSH8EwQss,https://embed.spotify.com/?uri=spotify:track:7zsXy7vlHdItvUSH8EwQss,Cold Water,,25,2017-01-28
38,Young M.A,-15,24,19,39,0D21XvHcVsIvJM6FcGY2BT,https://embed.spotify.com/?uri=spotify:track:0D21XvHcVsIvJM6FcGY2BT,OOOUUU,,20,2017-01-28
39,Lil Uzi Vert,0,40,40,40,2ANLarE8yHVsLWW21nj79M,https://embed.spotify.com/?uri=spotify:track:2ANLarE8yHVsLWW21nj79M,You Was Right,http://cache.vevo.com/assets/html/embed.html?video=USATV1601008&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,27,2017-01-28
40,gnash Featuring Olivia O'Brien,-8,33,10,41,7vRriwrloYVaoAe3a9wJHe,https://embed.spotify.com/?uri=spotify:track:7vRriwrloYVaoAe3a9wJHe,I Hate U I Love U,,39,2017-01-28
41,KYLE Featuring Lil Yachty,+20,62,42,42,0WjYgf4qH3B0v0HmW61doL,https://embed.spotify.com/?uri=spotify:track:0WjYgf4qH3B0v0HmW61doL,iSpy,,3,2017-01-28
